customer_id,tenure_months,monthly_charges,total_charges,age,num_support_calls,contract_type,internet_service,payment_method,tech_support,paperless_billing,has_partner,has_dependents,senior_citizen,churn
CUST-004445,30,31.34,925.02,28.0,0,Month-to-month,No,Bank transfer,Yes,Yes,No,No,0,0
CUST-003265,46,46.28,1964.05,72.0,1,One year,Fiber optic,Mailed check,No,No,Yes,No,0,0
CUST-001569,71,32.31,2475.39,67.0,1,Two year,DSL,Electronic check,Yes,Yes,Yes,No,0,0
CUST-003727,38,114.17,4493.39,58.0,3,Month-to-month,DSL,Credit card,Yes,Yes,Yes,No,0,0
CUST-002091,23,54.34,1276.69,31.0,2,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
CUST-005682,27,56.79,1469.44,52.0,3,Month-to-month,No,Electronic check,No,No,Yes,No,0,1
CUST-004588,44,74.44,3441.79,36.0,1,One year,Fiber optic,Credit card,Yes,Yes,Yes,No,0,0
CUST-000408,68,84.1,5474.68,78.0,0,Two year,DSL,Mailed check,No internet service,Yes,No,No,0,0
CUST-005842,40,21.83,853.98,30.0,0,Month-to-month,No,Credit card,Yes,No,No,No,0,1
CUST-004764,31,94.48,2741.02,70.0,0,Month-to-month,No,Electronic check,No internet service,Yes,No,Yes,0,1
CUST-005629,2,53.76,103.21,65.0,1,Month-to-month,DSL,Credit card,Yes,No,No,No,0,0
CUST-000393,43,79.63,3549.0,21.0,0,Two year,DSL,Credit card,Yes,No,Yes,Yes,0,0
CUST-003682,15,79.57,1188.68,73.0,0,Month-to-month,No,Mailed check,No,Yes,No,No,0,1
CUST-005595,25,60.13,1495.23,46.0,0,One year,No,Mailed check,No internet service,Yes,Yes,Yes,0,1
CUST-005926,54,35.46,1933.59,20.0,2,Month-to-month,No,Credit card,No,No,Yes,No,0,1
CUST-001419,34,67.22,2129.89,27.0,1,Month-to-month,Fiber optic,Credit card,No,No,Yes,Yes,0,0
CUST-002166,23,39.45,958.88,55.0,1,Month-to-month,DSL,Credit card,No,No,Yes,No,0,1
CUST-001883,61,112.02,7015.08,68.0,2,Two year,DSL,Electronic check,No,Yes,Yes,Yes,0,0
CUST-003966,57,28.5,,18.0,0,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No,0,0
CUST-002439,4,63.36,264.01,60.0,3,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,0
CUST-003075,54,60.29,3323.02,69.0,0,Month-to-month,DSL,Credit card,Yes,Yes,No,No,0,1
CUST-004454,44,70.08,3363.86,63.0,0,One year,No,Electronic check,No,No,Yes,No,0,0
CUST-002034,71,37.27,2592.77,18.0,3,Month-to-month,DSL,Electronic check,No,Yes,No,No,0,0
CUST-002525,23,80.6,1891.19,66.0,2,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,1,1
CUST-004441,25,59.88,1397.06,56.0,0,Month-to-month,No,Electronic check,No,Yes,No,Yes,0,1
CUST-000604,60,56.63,3463.63,26.0,2,Month-to-month,DSL,Electronic check,No,No,No,No,0,1
CUST-004938,21,60.12,1297.18,69.0,0,Month-to-month,DSL,Mailed check,Yes,No,No,No,0,1
CUST-004006,18,62.73,1162.68,62.0,2,Month-to-month,Fiber optic,Credit card,No,No,Yes,No,0,1
CUST-004685,53,58.62,3174.99,77.0,2,Two year,No,Bank transfer,Yes,No,Yes,Yes,0,0
CUST-004280,34,54.61,1929.96,61.0,1,Two year,DSL,Credit card,Yes,No,No,No,0,0
CUST-004028,50,108.08,5472.53,50.0,0,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,No,0,0
CUST-005969,4,29.34,113.38,23.0,0,Month-to-month,DSL,Electronic check,No internet service,No,Yes,Yes,1,0
CUST-003487,69,64.1,4439.88,70.0,1,Two year,Fiber optic,Electronic check,No,Yes,No,No,0,1
CUST-001514,18,65.48,1205.53,39.0,1,Two year,No,Electronic check,No,Yes,Yes,No,0,0
CUST-004391,59,97.98,5640.72,31.0,1,Two year,Fiber optic,Bank transfer,No,Yes,Yes,No,0,0
CUST-002977,65,105.61,7056.85,79.0,2,Month-to-month,Fiber optic,Credit card,No internet service,Yes,No,No,0,0
CUST-001194,38,57.39,2158.76,46.0,0,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,Yes,No,0,0
CUST-001321,20,45.24,902.04,31.0,1,One year,Fiber optic,Credit card,No,No,No,No,1,0
CUST-001862,61,42.98,2690.28,60.0,0,One year,DSL,Credit card,No,No,Yes,No,0,0
CUST-002803,4,76.31,285.74,70.0,1,Two year,Fiber optic,Electronic check,Yes,Yes,No,No,1,1
CUST-000811,64,134.99,8857.71,27.0,1,Two year,Fiber optic,Electronic check,No,No,No,No,0,0
CUST-005725,23,80.89,1871.55,32.0,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,No,0,0
CUST-000805,57,48.18,2806.48,59.0,2,Month-to-month,DSL,Electronic check,Yes,Yes,No,No,0,0
CUST-004296,32,87.96,2878.32,70.0,0,One year,DSL,Electronic check,Yes,No,Yes,Yes,1,0
CUST-004958,67,53.01,3491.07,,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,1,1
CUST-000079,48,54.47,2651.36,78.0,0,Month-to-month,No,Bank transfer,No internet service,Yes,No,No,0,1
CUST-004635,55,96.65,5536.02,44.0,1,Two year,DSL,Bank transfer,,No,No,No,0,0
CUST-003940,39,61.6,2650.46,35.0,5,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,0,1
CUST-001433,41,76.21,3079.19,27.0,3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,No,0,0
CUST-005999,7,40.16,,27.0,1,Month-to-month,DSL,Bank transfer,No internet service,No,Yes,Yes,0,0
CUST-001600,22,27.53,,42.0,4,One year,Fiber optic,Electronic check,,Yes,Yes,Yes,0,0
CUST-000228,39,78.67,3222.13,34.0,2,One year,DSL,Bank transfer,No internet service,Yes,Yes,No,1,0
CUST-003844,67,62.63,4136.91,38.0,1,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,No,0,0
CUST-003317,29,58.31,1734.38,54.0,0,Month-to-month,No,Credit card,No,Yes,Yes,Yes,0,0
CUST-003296,15,61.84,866.97,77.0,1,Month-to-month,DSL,Mailed check,Yes,Yes,No,No,0,0
CUST-004856,61,56.13,3374.58,61.0,1,One year,DSL,Credit card,Yes,Yes,Yes,No,0,0
CUST-003901,69,74.99,5139.59,20.0,1,One year,DSL,Electronic check,Yes,No,No,Yes,0,0
CUST-005005,69,79.83,5775.74,54.0,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,1,1
CUST-003885,30,68.35,2100.4,63.0,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,1
CUST-004724,21,54.67,1198.03,36.0,0,Month-to-month,DSL,Credit card,No,Yes,Yes,No,0,1
CUST-001075,11,44.05,525.19,19.0,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,1
CUST-005956,15,50.55,824.46,36.0,1,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,Yes,0,0
CUST-002776,38,45.08,1576.97,69.0,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,0
CUST-000681,10,18.68,196.69,,3,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,0,0
CUST-002549,9,65.41,548.52,19.0,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,1
CUST-003407,46,58.9,2702.64,21.0,3,One year,No,Electronic check,No internet service,Yes,Yes,No,1,0
CUST-002098,54,85.51,4809.88,29.0,0,Month-to-month,Fiber optic,Mailed check,No,No,No,Yes,0,0
CUST-005564,6,115.22,633.97,67.0,3,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes,0,0
CUST-001221,40,47.87,1947.02,55.0,1,Two year,DSL,Bank transfer,No internet service,No,Yes,No,0,0
CUST-001912,0,86.7,0.0,45.0,2,Month-to-month,DSL,Bank transfer,No internet service,No,No,No,0,0
CUST-004558,54,59.89,3282.14,75.0,3,Month-to-month,No,Mailed check,No,Yes,Yes,Yes,0,0
CUST-000037,60,90.7,5572.23,60.0,0,One year,Fiber optic,Electronic check,Yes,No,No,Yes,1,0
CUST-002364,55,63.95,3755.94,62.0,0,Two year,No,Credit card,No,Yes,Yes,No,0,0
CUST-001215,8,62.1,479.99,73.0,2,Month-to-month,No,Electronic check,No internet service,Yes,No,Yes,0,0
CUST-002132,37,73.95,2976.11,64.0,3,Month-to-month,Fiber optic,Bank transfer,No,No,No,Yes,1,0
CUST-005306,28,69.96,1906.84,24.0,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No,0,1
CUST-000233,55,43.1,2352.84,79.0,0,One year,Fiber optic,Credit card,No,Yes,No,Yes,0,0
CUST-003311,29,103.78,2974.83,71.0,0,One year,No,Credit card,No internet service,No,Yes,No,0,0
CUST-005008,52,78.22,3892.53,39.0,0,Month-to-month,DSL,Bank transfer,No,Yes,No,No,0,1
CUST-004104,5,44.5,225.55,,0,Two year,DSL,Electronic check,Yes,Yes,Yes,No,1,0
CUST-005376,12,65.21,770.23,72.0,2,Month-to-month,DSL,Electronic check,No internet service,No,Yes,No,1,1
CUST-005384,4,15.0,66.15,72.0,0,One year,Fiber optic,Electronic check,No internet service,No,Yes,No,0,0
CUST-004055,27,48.43,1243.34,,1,Month-to-month,DSL,Electronic check,No,No,No,No,0,0
CUST-001643,43,42.55,1926.16,18.0,2,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
CUST-002312,37,68.51,2608.73,68.0,1,Two year,Fiber optic,Bank transfer,Yes,Yes,No,No,0,1
CUST-004982,13,53.05,680.45,63.0,0,One year,DSL,Credit card,Yes,No,No,No,0,0
CUST-000696,52,80.77,3980.53,27.0,1,Two year,No,Mailed check,No,No,No,No,0,0
CUST-005957,52,60.54,3472.79,30.0,0,One year,Fiber optic,Electronic check,No,Yes,No,No,0,0
CUST-002550,47,100.42,4803.22,39.0,2,Two year,Fiber optic,Credit card,No,Yes,No,No,0,0
CUST-002929,47,39.08,1804.83,76.0,0,Month-to-month,DSL,Electronic check,No,Yes,No,Yes,1,0
CUST-000093,28,83.39,2293.95,46.0,2,One year,DSL,Credit card,No,Yes,Yes,No,1,0
CUST-001397,47,110.92,4893.21,29.0,2,One year,DSL,Electronic check,Yes,No,No,No,1,0
CUST-004086,19,67.36,1204.38,40.0,2,Month-to-month,Fiber optic,Electronic check,No internet service,Yes,Yes,No,0,0
CUST-005585,54,67.4,3597.22,73.0,0,Month-to-month,DSL,Electronic check,No,No,Yes,Yes,0,0
CUST-002516,50,69.02,3235.47,57.0,0,Month-to-month,DSL,Electronic check,No internet service,No,No,Yes,0,0
CUST-003574,69,67.69,4816.83,58.0,2,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,1,1
CUST-005883,16,62.79,1026.65,65.0,0,Month-to-month,No,Mailed check,Yes,Yes,Yes,No,0,0
CUST-004782,25,36.07,914.02,34.0,3,Two year,DSL,Mailed check,No,Yes,No,No,0,0
CUST-001498,34,23.62,785.64,59.0,1,One year,Fiber optic,Mailed check,Yes,No,Yes,Yes,0,0
CUST-000324,71,106.11,8088.53,51.0,1,Two year,DSL,Credit card,No,Yes,Yes,No,0,0
CUST-005562,57,58.89,3083.22,79.0,0,Two year,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
CUST-000544,60,59.43,3207.82,67.0,5,Two year,DSL,Electronic check,Yes,Yes,Yes,Yes,0,0
CUST-005371,53,30.08,1535.91,23.0,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,1
CUST-000023,67,78.28,5380.22,74.0,1,One year,No,Bank transfer,No,Yes,Yes,No,0,0
CUST-002131,71,57.62,4111.68,40.0,2,Month-to-month,No,Mailed check,No,Yes,Yes,No,0,1
CUST-001817,18,86.66,1525.87,60.0,1,Two year,Fiber optic,Electronic check,No,Yes,No,No,1,0
CUST-002941,68,33.02,2253.0,54.0,0,Month-to-month,Fiber optic,Credit card,Yes,No,No,Yes,0,1
CUST-001721,54,68.64,3877.14,36.0,2,Month-to-month,DSL,Credit card,No,No,No,No,0,1
CUST-002133,29,15.0,432.14,18.0,3,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,0,1
CUST-003599,45,93.82,4238.9,46.0,0,Month-to-month,No,Mailed check,Yes,Yes,No,Yes,0,0
CUST-000565,17,59.21,994.15,26.0,0,Two year,Fiber optic,Bank transfer,No,Yes,Yes,Yes,0,0
CUST-003995,24,46.07,1135.14,36.0,2,One year,Fiber optic,Electronic check,Yes,No,No,No,0,0
CUST-003839,69,65.74,4687.79,35.0,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,1
CUST-005256,4,70.0,257.02,45.0,3,One year,Fiber optic,Electronic check,No internet service,No,Yes,Yes,0,0
CUST-001864,60,86.15,4867.71,33.0,2,One year,Fiber optic,Electronic check,No,Yes,Yes,No,0,0
CUST-003903,0,73.69,0.0,68.0,1,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,No,1,0
CUST-000156,9,89.24,881.84,22.0,0,Month-to-month,Fiber optic,Electronic check,No,No,No,No,0,0
CUST-002480,47,88.18,4330.01,44.0,2,One year,DSL,Electronic check,No,No,Yes,No,1,0
CUST-003279,53,89.85,4701.44,33.0,0,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,0
CUST-003618,31,37.86,1179.71,50.0,1,One year,DSL,Electronic check,Yes,Yes,Yes,Yes,0,0
CUST-000177,11,70.88,748.33,55.0,2,Two year,Fiber optic,Electronic check,No internet service,Yes,No,Yes,1,0
CUST-001669,52,63.65,3437.56,24.0,2,Month-to-month,DSL,Electronic check,No,Yes,No,Yes,0,1
CUST-000439,29,28.07,889.18,49.0,2,Two year,No,Bank transfer,Yes,Yes,Yes,No,0,0
CUST-003718,49,53.14,2514.02,31.0,0,Month-to-month,DSL,Electronic check,No,Yes,Yes,No,0,0
CUST-001188,41,83.32,3194.76,38.0,0,Two year,Fiber optic,Electronic check,Yes,Yes,No,No,0,0
CUST-000263,67,32.46,2290.43,20.0,0,Month-to-month,Fiber optic,Electronic check,No,Yes,No,No,0,0
CUST-001835,10,27.55,,48.0,1,One year,No,Credit card,No,Yes,No,No,0,0
CUST-004306,53,57.76,2998.39,61.0,0,Two year,Fiber optic,Bank transfer,No internet service,No,No,No,0,0
CUST-001448,53,72.81,3925.8,38.0,1,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,1
CUST-000221,33,49.79,1645.72,69.0,1,One year,DSL,Credit card,No,Yes,No,No,0,0
CUST-000254,48,46.92,2317.48,62.0,0,One year,Fiber optic,Electronic check,No,Yes,No,No,0,0
CUST-000308,23,43.68,1045.8,26.0,0,Month-to-month,No,Electronic check,Yes,No,Yes,No,0,1
CUST-001084,14,89.19,1308.18,47.0,4,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,No,0,1
CUST-004568,22,15.0,301.33,34.0,1,Month-to-month,DSL,Mailed check,No,Yes,No,No,0,1
CUST-000747,22,49.17,1080.06,,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,No,0,1
CUST-000031,16,65.71,1053.97,43.0,1,Month-to-month,No,Electronic check,No internet service,Yes,No,Yes,0,1
CUST-000553,23,83.32,2040.83,21.0,2,Month-to-month,DSL,Mailed check,Yes,No,No,Yes,0,0
CUST-002031,12,48.76,568.23,64.0,0,One year,No,Bank transfer,Yes,No,Yes,Yes,0,0
CUST-004419,7,15.0,101.43,27.0,0,Month-to-month,DSL,Electronic check,No internet service,Yes,No,No,0,0
CUST-002874,27,61.25,1696.95,72.0,2,Month-to-month,DSL,Mailed check,No,Yes,Yes,Yes,0,0
CUST-001964,59,96.38,5365.61,36.0,0,Month-to-month,No,Electronic check,No internet service,Yes,Yes,Yes,0,1
CUST-002344,42,53.23,2203.42,40.0,2,Month-to-month,No,Bank transfer,No internet service,Yes,Yes,No,1,0
CUST-005556,7,19.57,129.69,77.0,1,One year,DSL,Electronic check,Yes,Yes,No,Yes,0,0
CUST-005779,9,94.44,833.94,27.0,0,Two year,No,Bank transfer,Yes,Yes,Yes,No,0,0
CUST-000167,12,39.6,498.04,66.0,0,One year,DSL,Electronic check,Yes,No,Yes,Yes,0,0
CUST-000763,68,47.52,3418.74,53.0,2,Two year,Fiber optic,Credit card,No,Yes,Yes,No,0,1
CUST-002328,1,87.58,92.65,31.0,0,Month-to-month,DSL,Bank transfer,No,No,No,Yes,0,1
CUST-001261,67,96.94,6184.96,66.0,0,One year,DSL,Bank transfer,No,Yes,Yes,No,0,0
CUST-000319,56,29.87,1777.78,53.0,0,Month-to-month,DSL,Mailed check,No,Yes,Yes,No,0,0
CUST-004322,33,57.35,1912.07,33.0,1,Month-to-month,No,Electronic check,Yes,No,No,Yes,1,0
CUST-002789,60,65.42,3974.92,50.0,0,One year,No,Credit card,No,Yes,Yes,No,0,0
CUST-000296,62,28.68,1751.24,67.0,3,Month-to-month,DSL,Credit card,No,No,No,Yes,0,0
CUST-003872,63,53.69,3296.93,30.0,2,Month-to-month,No,Mailed check,Yes,Yes,No,No,0,0
CUST-000530,43,30.47,1088.42,73.0,4,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,1
CUST-003740,16,23.84,393.12,62.0,0,One year,Fiber optic,Credit card,No,Yes,Yes,Yes,0,1
CUST-002877,68,112.3,7627.76,49.0,1,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,No,0,0
CUST-005576,42,57.04,2393.92,54.0,0,One year,Fiber optic,Credit card,No internet service,Yes,No,Yes,1,1
CUST-004083,57,101.95,6177.87,42.0,2,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,0
CUST-000346,72,55.01,4382.86,68.0,3,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,No,1,0
CUST-000080,68,67.97,4943.95,32.0,1,Month-to-month,DSL,Mailed check,No,Yes,No,No,0,0
CUST-002780,22,129.26,2840.62,33.0,2,Month-to-month,No,Mailed check,Yes,Yes,No,No,0,0
CUST-002847,28,58.04,1717.31,69.0,1,Month-to-month,No,Electronic check,Yes,Yes,No,No,0,0
CUST-003970,34,76.66,2391.89,78.0,2,Month-to-month,No,Bank transfer,No internet service,No,Yes,No,0,1
CUST-005806,31,78.84,,64.0,0,Two year,Fiber optic,Bank transfer,No,Yes,Yes,No,1,1
CUST-001357,9,53.95,532.45,51.0,0,Two year,DSL,Electronic check,No internet service,Yes,No,No,0,0
CUST-005357,54,60.2,3345.42,66.0,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,0,0
CUST-001039,60,70.86,4483.64,69.0,1,Month-to-month,No,Credit card,No,No,Yes,No,0,0
CUST-000865,50,85.98,4554.5,26.0,2,One year,DSL,Mailed check,No,No,Yes,No,0,1
CUST-002142,70,65.98,4787.68,35.0,2,Two year,Fiber optic,Electronic check,Yes,No,Yes,No,0,0
CUST-005640,54,39.71,2309.26,48.0,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,0,0
CUST-001730,56,47.63,2622.72,51.0,0,Two year,No,Electronic check,No internet service,No,No,No,1,0
CUST-002694,68,15.0,1019.18,61.0,0,One year,DSL,Credit card,No,Yes,No,No,0,0
CUST-005346,36,75.17,2616.16,31.0,3,One year,No,Bank transfer,Yes,Yes,Yes,No,1,0
CUST-004359,70,60.17,4304.82,71.0,1,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,0,0
CUST-004051,28,37.8,1034.05,66.0,2,One year,DSL,Mailed check,No,Yes,Yes,No,0,0
CUST-000157,40,95.95,3867.26,38.0,1,Month-to-month,DSL,Credit card,No,Yes,No,No,0,0
CUST-000576,67,39.08,2623.49,65.0,1,One year,No,Electronic check,No,Yes,No,Yes,0,0
CUST-000325,16,43.09,632.8,70.0,0,One year,Fiber optic,Bank transfer,No,No,Yes,Yes,0,0
CUST-004211,51,59.73,2879.39,50.0,0,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,Yes,0,0
CUST-005962,60,96.73,6048.17,29.0,2,Month-to-month,No,Mailed check,No internet service,Yes,Yes,Yes,0,1
CUST-003252,11,28.71,285.78,31.0,2,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,No,0,1
CUST-004836,10,63.5,620.94,25.0,1,One year,Fiber optic,Credit card,No internet service,No,Yes,No,1,1
CUST-005439,40,68.18,2583.93,67.0,0,One year,DSL,Mailed check,No internet service,No,No,Yes,0,0
CUST-004669,31,86.29,2745.54,67.0,1,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,No,0,0
CUST-000960,11,38.59,446.11,64.0,1,Month-to-month,Fiber optic,Electronic check,No internet service,No,Yes,No,1,1
CUST-002721,48,51.3,2445.77,66.0,0,Two year,Fiber optic,Bank transfer,No internet service,Yes,No,No,0,0
CUST-000706,0,31.35,0.0,55.0,1,One year,No,Bank transfer,No internet service,Yes,No,No,0,0
CUST-003297,66,65.26,4139.72,50.0,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,No,0,1
CUST-000401,56,66.41,3527.22,57.0,3,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,Yes,1,1
CUST-005513,63,99.89,5866.61,24.0,3,Two year,Fiber optic,Bank transfer,Yes,No,No,No,1,1
CUST-002650,64,38.63,2493.23,60.0,1,Month-to-month,DSL,Mailed check,No,No,No,Yes,0,1
CUST-004761,61,85.45,4836.9,73.0,0,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,0
CUST-002373,29,68.37,1875.79,42.0,0,Month-to-month,DSL,Bank transfer,No,Yes,Yes,No,0,0
CUST-003819,65,45.04,2709.53,43.0,1,One year,Fiber optic,Bank transfer,No internet service,Yes,No,Yes,0,0
CUST-004969,59,92.05,5830.33,37.0,3,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,0,0
CUST-005743,33,15.0,500.82,21.0,1,One year,DSL,Credit card,No,Yes,Yes,No,0,0
CUST-001647,48,56.17,2809.14,56.0,2,Two year,Fiber optic,Mailed check,No internet service,Yes,No,No,0,1
CUST-003809,44,45.55,1911.23,40.0,1,One year,DSL,Mailed check,No internet service,No,Yes,Yes,0,1
CUST-005744,1,56.84,57.4,37.0,1,Month-to-month,Fiber optic,Credit card,No,No,Yes,Yes,1,1
CUST-002932,11,23.77,251.56,54.0,3,One year,Fiber optic,Mailed check,No internet service,Yes,No,Yes,0,1
CUST-002389,63,48.63,2985.0,37.0,1,Month-to-month,Fiber optic,Electronic check,No internet service,No,Yes,Yes,0,1
CUST-004827,39,68.34,2674.74,77.0,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,No,0,1
CUST-002228,21,27.99,575.8,46.0,2,Month-to-month,DSL,Credit card,Yes,No,No,No,0,0
CUST-000538,39,57.42,2187.83,55.0,0,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,No,Yes,0,0
CUST-002375,72,98.77,6430.89,70.0,1,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,No,0,0
CUST-005628,32,92.59,3109.11,30.0,0,Two year,Fiber optic,Electronic check,No,No,Yes,No,0,0
CUST-001235,25,62.65,1554.14,20.0,1,Two year,DSL,Credit card,Yes,Yes,Yes,Yes,0,0
CUST-001684,26,39.93,1060.02,56.0,3,Month-to-month,Fiber optic,Electronic check,No internet service,Yes,Yes,No,0,0
CUST-001755,23,60.12,1380.56,35.0,2,Month-to-month,DSL,Electronic check,Yes,No,No,No,0,0
CUST-001212,33,18.97,609.21,32.0,2,One year,Fiber optic,Electronic check,No,Yes,No,No,0,0
CUST-004385,52,41.57,2265.01,33.0,1,One year,Fiber optic,Credit card,No internet service,Yes,Yes,No,0,0
CUST-000977,41,98.81,4022.7,32.0,2,Two year,DSL,Electronic check,Yes,Yes,No,No,0,1
CUST-002042,54,49.5,2538.4,66.0,2,One year,Fiber optic,Electronic check,Yes,Yes,No,Yes,1,1
CUST-004899,42,72.05,3064.13,59.0,2,One year,No,Bank transfer,Yes,No,Yes,No,0,0
CUST-002348,14,74.57,975.45,42.0,1,One year,Fiber optic,Electronic check,No,No,No,Yes,0,1
CUST-002836,70,68.74,4561.19,32.0,1,One year,DSL,Credit card,No,Yes,Yes,No,1,0
CUST-004416,34,80.52,2705.07,67.0,0,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,Yes,0,1
CUST-000050,55,71.48,3551.52,62.0,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,No,0,0
CUST-004058,14,73.42,1046.42,73.0,3,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,1,1
CUST-001319,28,77.06,2273.43,,1,One year,No,Bank transfer,Yes,No,No,No,0,0
CUST-001468,56,53.36,2916.24,50.0,1,One year,No,Bank transfer,Yes,Yes,No,Yes,0,0
CUST-002337,59,86.81,5026.32,53.0,1,One year,DSL,Electronic check,No,Yes,No,No,0,0
CUST-002765,39,49.7,1978.39,77.0,2,Month-to-month,DSL,Bank transfer,No,Yes,No,No,0,1
CUST-003543,56,63.81,3393.53,77.0,2,One year,DSL,Mailed check,Yes,No,No,No,0,0
CUST-004678,47,54.87,2371.28,75.0,2,Month-to-month,No,Mailed check,No,No,No,No,0,0
CUST-003477,38,108.95,4068.97,65.0,2,Two year,Fiber optic,Credit card,Yes,Yes,No,No,0,0
CUST-001650,13,97.2,1312.95,29.0,1,Month-to-month,No,Credit card,No internet service,Yes,No,No,0,1
CUST-001268,69,15.27,1066.68,68.0,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,No,1,0
CUST-004686,69,99.33,6864.06,,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,Yes,0,0
